Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
			03 18 26.40	+40 52 27.4	22.7			S	
			03 18 26.31	+42 44 18.1	22.5			SB?	
			03 18 27.65	+40 58 25.7	21.9			S(late)	
			03 18 30.58	+40 30 08.8	21.6			S?	
			03 18 30.54	+42 15 31.8	22			S	
PGC 12306			03 18 31.62	+41 16 26.6	20.6	5319	17	E	
PGC 12315			03 18 35.34	+41 40 01.7	21.5	7650	19	S0	
PGC 12316			03 18 35.89	+41 28 38.1	19.9	3342	15	SB0/S	
			03 18 36.83	+41 01 09.0	21.2			S0/E?	
PGC 12319			03 18 38.87	+41 40 08.6	20.4	4319	16	S0	
PGC 12320			03 18 39.28	+41 59 50.2	20.3	8088	20	S0/S?	
UGC 2654 main			03 18 43.23	+42 18 02.9	21.4	5793	30	SBR	
UGC 2656			03 18 43.44	+41 04 20.9	20	5487	19	Sa/S0?	
NGC 1267			03 18 44.64	+41 28 02.7	19.5	5059	67	E/S0	
			03 18 44.78	+41 30 41.3	21.9			E	
NGC 1268			03 18 45.12	+41 29 19.7	20.3	3263	40	S(B?)/Irr	
UGC 2654 NED\,1			03 18 45.84	+42 18 37.5	21.5			E	
			03 18 46.31	+41 01 51.9	21.9			SB0	
UGC 2654 NED\,2			03 18 46.15	+42 17 32.7	20.4			E	
PGC 12336			03 18 47.35	+41 25 42.3	20.7	5986	18	S/S0?	
			03 18 47.26	+41 58 50.8	21.6			S	
			03 18 49.37	+40 49 39.2	21.3			S/S0?	
